date,num_search
2021-03-21,11
2021-03-28,10
2021-04-04,8
2021-04-11,8
2021-04-18,22
2021-04-25,16
2021-05-02,15
2021-05-09,10
2021-05-16,12
2021-05-23,11
2021-05-30,14
2021-06-06,10
2021-06-13,14
2021-06-20,13
2021-06-27,23
2021-07-04,19
2021-07-11,16
2021-07-18,17
2021-07-25,16
2021-08-01,15
2021-08-08,16
2021-08-15,18
2021-08-22,100
2021-08-29,55
2021-09-05,34
2021-09-12,28
2021-09-19,30
2021-09-26,20
2021-10-03,15
2021-10-10,18
2021-10-17,13
2021-10-24,15
2021-10-31,14
2021-11-07,12
2021-11-14,8
2021-11-21,13
2021-11-28,12
2021-12-05,11
2021-12-12,11
2021-12-19,11
2021-12-26,12
2022-01-02,10
2022-01-09,11
2022-01-16,10
2022-01-23,10
2022-01-30,10
2022-02-06,9
2022-02-13,9
2022-02-20,9
2022-02-27,9
2022-03-06,7
2022-03-13,9
